region,page,ra_centroid,dec_centroid,n_apparitions,predicted_class,prob_null,prob_transient,prob_continuous_variable,catalog_status,confidence,in_vsx,in_simbad,still_unlisted
allsky,tile1,48.10301705,-88.02924886666666,12,continuous_variable,1.6513652667526912e-07,1.2651986125433725e-08,0.9999998807907104,new,0.9999998807907104,False,False,True
allsky,tile3,126.67935941,-88.85557837,10,continuous_variable,6.417269382552604e-09,7.85909861633627e-08,0.9999998807907104,new,0.9999998807907104,False,False,True
allsky,tile1,60.47734835,-88.39436611250001,8,continuous_variable,1.1933734889169044e-08,1.436750522998409e-07,0.9999998807907104,new,0.9999998807907104,False,False,True
allsky,tile2,99.3784041625,-88.7400545375,8,continuous_variable,1.0477872791625489e-07,1.9413009866298125e-08,0.9999998807907104,new,0.9999998807907104,False,False,True
allsky,tile3,132.52070817,-89.0298203,10,continuous_variable,2.7540711045048738e-08,1.1399968258274384e-07,0.9999998807907104,new,0.9999998807907104,False,False,True
allsky,tile2,94.8607593923077,-88.6234027076923,13,continuous_variable,1.7123274176356065e-07,4.747493420609317e-08,0.9999998807907104,new,0.9999998807907104,False,False,True
allsky,tile3,156.182126275,-89.38726865,8,continuous_variable,6.842547151109103e-08,1.0278505158112243e-07,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile0,34.34912597,-88.28235332999999,10,continuous_variable,2.964035559216427e-07,5.7869378622399394e-08,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile4,160.34133291249998,-88.43142123749999,8,continuous_variable,9.345057350174105e-08,1.1523482612574298e-07,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile0,8.627248688888889,-88.03267553333335,9,continuous_variable,2.5902679112732585e-07,2.6722506873966267e-08,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile2,94.92654694,-88.18098316,10,continuous_variable,8.478347268692232e-08,1.1548918621429038e-07,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile4,162.69437781666667,-88.28797984166665,12,continuous_variable,3.731242870230744e-08,2.487456356448093e-07,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile3,158.3882418,-89.449098725,8,continuous_variable,6.280296105387606e-08,1.4471396525550517e-07,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile2,117.0495232375,-88.0272366625,8,continuous_variable,1.760393644190117e-07,1.742905340051948e-07,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile3,157.11802767777775,-89.38982461111111,9,continuous_variable,4.2279236112108265e-08,1.8364841025686482e-07,0.9999997615814208,new,0.9999997615814208,False,False,True
allsky,tile2,96.54756105555556,-88.70628817777778,9,continuous_variable,2.4296858214256645e-07,7.424595338534348e-08,0.9999996423721312,new,0.9999996423721312,False,False,True
allsky,tile1,79.534377525,-88.604087425,8,continuous_variable,5.6600470088596935e-08,3.523001907979051e-07,0.9999996423721312,new,0.9999996423721312,False,False,True
allsky,tile1,55.07336071666668,-88.42679055,12,continuous_variable,9.272191192621905e-08,1.824863460342385e-07,0.9999996423721312,new,0.9999996423721312,False,False,True
allsky,tile4,196.51988741,-88.01936178999999,10,continuous_variable,8.966026854295708e-08,2.5426612637602375e-07,0.9999996423721312,new,0.9999996423721312,False,False,True
