AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M,W1W2,W2W3,predicted_type,confidence
J014930.59-041155.8,27.3774915,-4.1988385,Im,17.335,0.159,16.633,0.289,12.594,,8.612,,,,,,,,0000,0,nnnn,616.0,1489.0,-2660.0,1593.0,BBUU,,2M,0.7020000000000017,4.039,nnnn,0.98
J014934.41-041158.8,27.3933752,-4.1996674,Im,17.459,0.162,16.932,,12.378,0.389,8.86,,,,,,,,0000,0,nnnn,-192.0,1743.0,20.0,1863.0,BUCU,,2M,0.527000000000001,4.5539999999999985,nnnn,1.0
J014936.49-041129.3,27.4020503,-4.1914917,Im,16.913,0.104,16.211,0.195,12.052,,8.621,,,,,,,,0000,0,nnnn,2156.0,955.0,335.0,1030.0,ABUU,,2M,0.7020000000000017,4.158999999999999,nnnn,1.0
J014925.20-041059.4,27.3550091,-4.1831891,Im,17.122,0.119,16.256,0.194,12.094,,8.69,0.365,,,,,,,0000,0,nnnn,136.0,1121.0,1345.0,1161.0,BBUC,,2M,0.8659999999999997,4.162000000000001,nnnn,1.0
J014926.17-041140.7,27.3590739,-4.1946582,Im,17.775,0.211,16.872,0.36,12.614,,8.987,,,,,,,,0000,0,nnnn,-196.0,2515.0,632.0,2548.0,BCUU,,2M,0.9029999999999987,4.257999999999999,nnnn,0.99
J014921.96-041105.3,27.3415245,-4.184832,Im,17.321,0.151,16.682,0.322,12.625,,8.534,,,,,,,,0000,0,nnnn,585.0,1323.0,2012.0,1403.0,BBUU,,2M,0.6390000000000029,4.056999999999999,nnnn,0.95
J014927.15-041042.2,27.3631333,-4.1783985,Im,17.185,0.134,16.586,0.267,12.331,,9.082,,,,,,,,0000,0,nnnn,-532.0,1344.0,560.0,1392.0,BBUU,,2M,0.5990000000000002,4.254999999999999,nnnn,0.99
J014926.06-040945.7,27.3586159,-4.162703,Im,17.291,0.15,16.742,0.32,11.912,,8.984,,,,,,,,0000,0,nnnn,-635.0,1525.0,573.0,1604.0,BBUU,,2M,0.5489999999999995,4.83,nnnn,0.99
J014933.50-041002.9,27.3896219,-4.1674926,Im,17.514,0.166,16.638,0.282,11.988,,8.893,,,,,,,,0000,0,nnnn,420.0,1625.0,1050.0,1708.0,BBUU,,2M,0.8759999999999977,4.650000000000002,nnnn,1.0
J014910.45-041115.2,27.2935762,-4.1875725,Im,17.537,0.175,16.41,0.239,11.938,,9.122,,,,,,,,0000,0,nnnn,-445.0,1689.0,632.0,1761.0,BBUU,,2M,1.126999999999999,4.4719999999999995,nnnn,1.0
J014912.44-041230.4,27.3018419,-4.2084617,Im,16.687,0.085,16.186,0.195,12.144,,8.96,,,,,,,,0000,0,nnnn,53.0,740.0,633.0,760.0,ABUU,,2M,0.5010000000000012,4.042,nnnn,0.88
J014915.22-041055.8,27.3134249,-4.182194,Im,17.349,0.153,16.514,0.263,12.495,0.467,9.063,,,,,,,,0000,0,nnnn,-1724.0,1421.0,-669.0,1461.0,BBCU,,2M,0.8350000000000009,4.019,nnnn,1.0
J014911.90-041109.9,27.2996136,-4.1860884,Im,17.201,0.138,16.417,0.253,12.189,,8.953,,,,,,,,0000,0,nnnn,-27.0,1265.0,-468.0,1264.0,BBUU,,2M,0.7839999999999989,4.2280000000000015,nnnn,1.0
