AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M,W1W2,W2W3
J030212.51+004105.9,45.5521473,0.6849884,Im,16.654,0.079,16.134,0.183,12.082,,8.933,,,,,,,,0000,0,0nnn,176.0,555.0,-79.0,586.0,ABUU,,2M,0.5199999999999996,4.052
J030218.50+004100.3,45.5771143,0.68343,Im,17.845,0.207,17.18,,12.489,,8.875,,,,,,,,0000,0,nnnn,1282.0,1956.0,199.0,2103.0,BUUU,,2M,0.6649999999999991,4.690999999999999
J030217.18+004055.9,45.5716196,0.6822152,Im,17.266,0.125,16.662,0.27,11.95,,8.876,,,,,,,,0000,0,nnnn,584.0,971.0,-1461.0,1036.0,BBUU,,2M,0.6039999999999992,4.712
J030213.88+004113.6,45.5578499,0.6871147,Im,17.375,0.142,16.842,0.329,12.268,,8.958,,,,,,,,0000,0,nnnn,-830.0,1119.0,-439.0,1185.0,BBUU,,2M,0.5330000000000013,4.573999999999998
J030213.31+004113.9,45.555464,0.6872064,Im,17.815,0.205,16.685,,12.189,,8.923,,,,,,,,0000,0,nnnn,1674.0,1858.0,-366.0,1985.0,BUUU,,2M,1.1300000000000026,4.495999999999999
J030216.16+004152.1,45.5673552,0.6978201,Im,17.786,0.213,16.914,,11.874,,9.099,,,,,,,,0000,0,nnnn,330.0,2036.0,908.0,2179.0,BUUU,,2M,0.8719999999999999,5.040000000000001
J030158.23+003857.8,45.4926578,0.6494012,Im,17.369,0.151,16.583,0.285,12.26,,8.959,,,,,,,,0000,0,nnnn,-760.0,1072.0,449.0,1162.0,BBUU,,2M,0.7860000000000014,4.322999999999999
J030200.14+003910.8,45.5006136,0.6530177,Im,17.846,0.217,17.077,,12.521,,8.885,,,,,,,,0000,0,nnnn,-480.0,1943.0,707.0,2049.0,BUUU,,2M,0.7689999999999984,4.556000000000001
J030159.04+003911.6,45.4960043,0.6532254,Im,17.725,0.193,17.072,0.396,12.284,,8.626,,,,,,,,0000,0,nnnn,-606.0,1625.0,-922.0,1739.0,BCUU,,2M,0.6530000000000022,4.787999999999999
J030153.26+003854.9,45.4719355,0.6486089,Im,17.792,0.201,16.344,0.211,12.105,,8.913,,,,,,,,Hh00,0,nnnn,-1712.0,1329.0,-1312.0,1399.0,BBUU,,2M,1.4480000000000004,4.239000000000001
J030155.31+003905.1,45.4804688,0.6514269,Im,17.191,0.115,16.641,0.275,12.216,0.45,9.018,,,,,,,,0000,0,nnnn,-127.0,879.0,364.0,929.0,BBCU,,2M,0.5500000000000007,4.424999999999999
J030201.70+003959.7,45.5071127,0.6665873,Im,17.52,0.157,16.688,0.294,12.153,,8.815,,,,,,,,0000,0,nnnn,757.0,1191.0,-1865.0,1267.0,BBUU,,2M,0.8320000000000007,4.534999999999998
J030158.33+004036.6,45.4930686,0.6768507,Im,17.257,0.141,16.686,,12.397,,8.579,,,,,,,,0000,0,nnnn,-319.0,1027.0,-580.0,1064.0,BUUU,,2M,0.5710000000000015,4.289
J030200.57+004042.4,45.5024141,0.6784469,Im,17.333,0.136,16.774,,11.925,,8.677,,,,,,,,0000,0,nnnn,718.0,1163.0,725.0,1203.0,BUUU,,2M,0.5589999999999975,4.849
J030148.40+004013.4,45.4516671,0.6703909,Im,17.553,0.167,16.564,0.254,12.01,,9.083,,,,,,,,0000,0,nnnn,2971.0,1129.0,-904.0,1188.0,BBUU,,2M,0.9890000000000008,4.554
J030151.72+004038.2,45.4655066,0.6772832,Im,17.749,0.193,17.091,,12.495,,9.022,,,,,,,,0000,0,nnnn,-21.0,1587.0,579.0,1663.0,BUUU,,2M,0.6579999999999977,4.596000000000002
J030150.34+004038.8,45.4597514,0.6774637,Im,16.763,0.085,16.213,0.185,11.811,,8.308,,,,,,,,0000,0,0nnn,-452.0,598.0,-555.0,631.0,ABUU,,2M,0.5500000000000007,4.402000000000001
J030152.21+004044.3,45.4675573,0.6789895,Im,17.133,0.115,16.494,0.241,11.797,,8.729,,,,,,,,0000,0,nnnn,-708.0,881.0,656.0,917.0,BBUU,,2M,0.6389999999999993,4.696999999999999
J030156.94+004134.4,45.4872615,0.6928904,Im,17.681,0.181,16.929,,11.858,,8.964,,,,,,,,0000,0,nnnn,-259.0,1620.0,-247.0,1700.0,BUUU,,2M,0.7520000000000024,5.070999999999998
J030152.20+004116.0,45.467537,0.6878023,Im,17.431,0.141,16.857,0.322,11.902,,8.534,,,,,,,,0000,0,nnnn,275.0,1187.0,-379.0,1274.0,BBUU,,2M,0.5740000000000016,4.955
J030155.31+004202.8,45.4804755,0.7007828,Im,17.351,0.139,16.713,0.301,12.581,,8.832,,,,,,,,0000,0,nnnn,366.0,1118.0,-922.0,1175.0,BBUU,,2M,0.6379999999999981,4.1320000000000014
J030212.64+004309.7,45.5527054,0.7193644,Im,17.502,0.167,15.991,0.153,11.835,,8.758,,,,,,,,0000,0,nnnn,-165.0,991.0,9.0,1074.0,BBUU,,2M,1.5109999999999992,4.155999999999999
J030202.85+004151.0,45.5118763,0.6975249,Im,17.403,0.146,16.79,0.311,12.339,,8.942,,,,,,,,0000,0,nnnn,239.0,1207.0,587.0,1253.0,BBUU,,2M,0.6129999999999995,4.450999999999999
J030201.49+004215.8,45.5062336,0.7043917,Im,17.404,0.149,16.629,0.277,12.024,,8.792,,,,,,,,0000,0,nnnn,-419.0,1131.0,-1400.0,1207.0,BBUU,,2M,0.7749999999999986,4.605000000000002
