AllWISE,RAJ2000,DEJ2000,Im,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,ccf,ex,var,pmRA,e_pmRA,pmDE,e_pmDE,qph,d2M,2M
J030004.18+002250.3,45.0174173,0.3806593,Im,17.403,0.142,16.873,,12.382,,9.212,,,,,,,,0000,0,nnnn,-808,1165,419,1219,BUUU,,2M
J030003.17+002250.9,45.0132143,0.3808117,Im,16.46,0.067,16.516,0.245,12.854,,8.891,,,,,,,,0000,0,0nnn,940,468,53,487,ABUU,,2M
J030004.65+002306.2,45.0193783,0.3850584,Im,17.086,0.105,16.593,,12.363,,8.807,,,,,,,,0000,0,nnnn,132,912,984,920,AUUU,,2M
J030005.15+002313.8,45.0214752,0.3871824,Im,16.045,0.052,15.83,0.127,12.222,,8.771,,,,,,,,0000,0,0nnn,-335,301,-193,321,ABUU,,2M
J030011.00+002245.2,45.045838,0.3792452,Im,17.098,0.103,17.015,,12.39,,9.012,,,,,,,,0000,0,nnnn,-522,821,-310,865,AUUU,,2M
J030008.60+002248.0,45.0358686,0.3800222,Im,17.465,0.162,16.875,0.315,12.426,,8.859,0.433,,,,,,,0000,0,nnnn,184,1154,461,1232,BBUC,,2M
J030010.23+002323.9,45.0426661,0.3899796,Im,16.323,0.059,16.692,0.313,12.112,,8.93,,,,,,,,0000,0,0nnn,466,399,-172,421,ABUU,,2M
J030014.27+002342.5,45.0594895,0.3951494,Im,17.501,0.151,16.689,0.282,12.712,,8.763,,,,,,,,0000,0,nnnn,-465,1220,1905,1274,BBUU,,2M
J030010.90+002333.6,45.0454302,0.3926814,Im,16.748,0.082,16.615,0.27,12.615,,8.95,,,,,,,,0000,0,nnnn,-582,623,-465,651,ABUU,,2M
J030013.04+002338.6,45.0543371,0.3940796,Im,17.387,0.139,16.642,,12.557,,9.089,,,,,,,,0000,0,nnnn,277,1250,-445,1325,BUUU,,2M
J030013.66+002344.1,45.0569305,0.3955835,Im,17.165,0.112,16.917,0.35,12.734,,8.91,,,,,,,,0000,0,nnnn,1434,890,-825,928,BBUU,,2M
J030009.56+002342.2,45.0398452,0.3950688,Im,17.67,0.173,17.128,0.429,12.143,,9.249,,,,,,,,0000,0,nnnn,102,1548,41,1638,BCUU,,2M
J030007.44+002348.5,45.03104,0.3968215,Im,17.216,0.118,16.354,0.207,11.958,,8.815,,,,,,,,0000,0,nnnn,-838,868,630,920,BBUU,,2M
J030012.86+002359.6,45.0535989,0.3998949,Im,17.629,0.168,17.029,,12.139,,9.058,,,,,,,,0000,0,nnnn,411,1498,325,1568,BUUU,,2M
J030011.65+002411.4,45.0485674,0.4031715,Im,17.558,0.16,17.375,0.507,12.188,,8.672,,,,,,,,0000,0,nnnn,852,1390,-75,1443,BCUU,,2M
J030008.57+002355.7,45.0357376,0.3988296,Im,17.447,0.147,16.559,0.247,12.596,,8.838,,,,,,,,0000,0,nnnn,-154,1080,615,1124,BBUU,,2M
J030010.16+002419.3,45.042349,0.4053703,Im,15.872,0.049,15.65,0.116,12.175,0.381,8.787,,,,,,,,0000,0,0nnn,-149,280,-71,293,ABCU,,2M
J025949.54+002024.5,44.9564301,0.3401631,Im,17.326,0.127,16.79,,12.708,,9.155,,,,,,,,0000,0,nnnn,-164,989,-288,1051,BUUU,,2M
J025949.94+002041.2,44.9581243,0.3448029,Im,17.184,0.11,16.714,0.278,12.337,0.371,9.091,,,,,,,,0000,0,nnnn,-489,818,-735,878,BBCU,,2M
J025950.69+002047.3,44.9612294,0.3464913,Im,16.694,0.079,16.786,0.319,12.586,,8.59,,,,,,,,0000,0,nnnn,101,546,44,580,ABUU,,2M
J025948.25+002052.4,44.9510669,0.3479004,Im,16.734,0.082,16.223,0.182,12.306,,9.241,,,,,,,,0000,0,nnnn,-268,540,316,566,ABUU,,2M
J025949.15+002107.9,44.954793,0.3522037,Im,16.989,0.099,16.681,0.276,12.338,,9.12,,,,,,,,0000,0,nnnn,-223,757,110,808,ABUU,,2M
J025951.98+002111.7,44.9666212,0.353262,Im,14.143,0.026,14.154,0.04,12.292,,8.395,,14.896,0.042,14.297,0.05,14.342,0.082,0000,0,00nn,-35,67,-162,71,AAUU,0.266,2M
J025952.52+002121.3,44.9688551,0.3559265,Im,15.519,0.039,15.492,0.099,12.756,,9.238,,16.605,0.151,15.607,0.131,14.961,,0000,0,0nnn,220,192,-18,205,AAUU,0.149,2M
J025946.69+002116.2,44.9445773,0.3545107,Im,17.379,0.137,16.753,,12.798,,8.695,,,,,,,,0000,0,nnnn,724,1196,639,1245,BUUU,,2M
